dim,cell_type,modality,trial,task,file,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,label_dim
106,MiniAtlas-L23IT,RNAminus,MiniAtlas-L23IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L23IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,102
107,MiniAtlas-L23IT,RNAplus,MiniAtlas-L23IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L23IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,103
108,MiniAtlas-L2IT,ATAC,MiniAtlas-L2IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L2IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,104
109,MiniAtlas-L2IT,K27Ac,MiniAtlas-L2IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L2IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,105
110,MiniAtlas-L2IT,K27Me3,MiniAtlas-L2IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L2IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,106
112,MiniAtlas-L2IT,RNAminus,MiniAtlas-L2IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L2IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,107
113,MiniAtlas-L2IT,RNAplus,MiniAtlas-L2IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L2IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,108
114,MiniAtlas-L34IT,ATAC,MiniAtlas-L34IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L34IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,109
115,MiniAtlas-L34IT,K27Ac,MiniAtlas-L34IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L34IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,110
116,MiniAtlas-L34IT,K27Me3,MiniAtlas-L34IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L34IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,111
118,MiniAtlas-L34IT,RNAminus,MiniAtlas-L34IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L34IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,112
119,MiniAtlas-L34IT,RNAplus,MiniAtlas-L34IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L34IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,113
120,MiniAtlas-L35IT,ATAC,MiniAtlas-L35IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L35IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,114
121,MiniAtlas-L35IT,K27Ac,MiniAtlas-L35IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L35IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,115
122,MiniAtlas-L35IT,K27Me3,MiniAtlas-L35IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L35IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,116
124,MiniAtlas-L35IT,RNAminus,MiniAtlas-L35IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L35IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,117
125,MiniAtlas-L35IT,RNAplus,MiniAtlas-L35IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L35IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,118
126,MiniAtlas-L45IT,ATAC,MiniAtlas-L45IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L45IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,119
127,MiniAtlas-L45IT,K27Ac,MiniAtlas-L45IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L45IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,120
128,MiniAtlas-L45IT,K27Me3,MiniAtlas-L45IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L45IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,121
130,MiniAtlas-L45IT,RNAminus,MiniAtlas-L45IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L45IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,122
131,MiniAtlas-L45IT,RNAplus,MiniAtlas-L45IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L45IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,123
132,MiniAtlas-L4IT,ATAC,MiniAtlas-L4IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L4IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,124
133,MiniAtlas-L4IT,K27Ac,MiniAtlas-L4IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L4IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,125
134,MiniAtlas-L4IT,K27Me3,MiniAtlas-L4IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L4IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,126
136,MiniAtlas-L4IT,RNAminus,MiniAtlas-L4IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L4IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,127
137,MiniAtlas-L4IT,RNAplus,MiniAtlas-L4IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L4IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,128
138,MiniAtlas-L56IT,ATAC,MiniAtlas-L56IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,129
139,MiniAtlas-L56IT,K27Ac,MiniAtlas-L56IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,130
140,MiniAtlas-L56IT,K27Me3,MiniAtlas-L56IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,131
142,MiniAtlas-L56IT,RNAminus,MiniAtlas-L56IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,132
143,MiniAtlas-L56IT,RNAplus,MiniAtlas-L56IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,133
144,MiniAtlas-L56NP,ATAC,MiniAtlas-L56NP_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56NP_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,134
145,MiniAtlas-L56NP,K27Ac,MiniAtlas-L56NP_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56NP_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,135
146,MiniAtlas-L56NP,K27Me3,MiniAtlas-L56NP_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56NP_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,136
148,MiniAtlas-L56NP,RNAminus,MiniAtlas-L56NP_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56NP_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,137
149,MiniAtlas-L56NP,RNAplus,MiniAtlas-L56NP_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L56NP_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,138
150,MiniAtlas-L5IT,ATAC,MiniAtlas-L5IT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L5IT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,139
151,MiniAtlas-L5IT,K27Ac,MiniAtlas-L5IT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L5IT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,140
152,MiniAtlas-L5IT,K27Me3,MiniAtlas-L5IT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L5IT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,141
154,MiniAtlas-L5IT,RNAminus,MiniAtlas-L5IT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L5IT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,142
155,MiniAtlas-L5IT,RNAplus,MiniAtlas-L5IT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L5IT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,143
156,MiniAtlas-L6B,ATAC,MiniAtlas-L6B_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6B_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,144
157,MiniAtlas-L6B,K27Ac,MiniAtlas-L6B_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6B_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,145
158,MiniAtlas-L6B,K27Me3,MiniAtlas-L6B_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6B_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,146
160,MiniAtlas-L6B,RNAminus,MiniAtlas-L6B_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6B_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,147
161,MiniAtlas-L6B,RNAplus,MiniAtlas-L6B_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6B_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,148
162,MiniAtlas-L6CT,ATAC,MiniAtlas-L6CT_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6CT_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,149
163,MiniAtlas-L6CT,K27Ac,MiniAtlas-L6CT_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6CT_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,150
164,MiniAtlas-L6CT,K27Me3,MiniAtlas-L6CT_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6CT_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,151
166,MiniAtlas-L6CT,RNAminus,MiniAtlas-L6CT_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6CT_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,152
167,MiniAtlas-L6CT,RNAplus,MiniAtlas-L6CT_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6CT_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,153
168,MiniAtlas-L6IT-1,ATAC,MiniAtlas-L6IT-1_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-1_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,154
169,MiniAtlas-L6IT-1,K27Ac,MiniAtlas-L6IT-1_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-1_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,155
170,MiniAtlas-L6IT-1,K27Me3,MiniAtlas-L6IT-1_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-1_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,156
172,MiniAtlas-L6IT-1,RNAminus,MiniAtlas-L6IT-1_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-1_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,157
173,MiniAtlas-L6IT-1,RNAplus,MiniAtlas-L6IT-1_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-1_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,158
174,MiniAtlas-L6IT-2,ATAC,MiniAtlas-L6IT-2_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-2_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,159
175,MiniAtlas-L6IT-2,K27Ac,MiniAtlas-L6IT-2_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-2_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,160
176,MiniAtlas-L6IT-2,K27Me3,MiniAtlas-L6IT-2_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-2_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,161
178,MiniAtlas-L6IT-2,RNAminus,MiniAtlas-L6IT-2_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-2_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,162
179,MiniAtlas-L6IT-2,RNAplus,MiniAtlas-L6IT-2_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-L6IT-2_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,163
180,MiniAtlas-MGC,ATAC,MiniAtlas-MGC_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-MGC_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,164
181,MiniAtlas-MGC,K27Ac,MiniAtlas-MGC_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-MGC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,165
182,MiniAtlas-MGC,K27Me3,MiniAtlas-MGC_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-MGC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,166
184,MiniAtlas-MGC,RNAminus,MiniAtlas-MGC_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-MGC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,167
185,MiniAtlas-MGC,RNAplus,MiniAtlas-MGC_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-MGC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,168
186,MiniAtlas-OGC,ATAC,MiniAtlas-OGC_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OGC_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,169
187,MiniAtlas-OGC,K27Ac,MiniAtlas-OGC_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OGC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,170
188,MiniAtlas-OGC,K27Me3,MiniAtlas-OGC_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OGC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,171
190,MiniAtlas-OGC,RNAminus,MiniAtlas-OGC_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OGC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,172
191,MiniAtlas-OGC,RNAplus,MiniAtlas-OGC_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OGC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,173
192,MiniAtlas-OPC,ATAC,MiniAtlas-OPC_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OPC_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,174
193,MiniAtlas-OPC,K27Ac,MiniAtlas-OPC_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OPC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,175
194,MiniAtlas-OPC,K27Me3,MiniAtlas-OPC_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OPC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,176
196,MiniAtlas-OPC,RNAminus,MiniAtlas-OPC_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OPC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,177
197,MiniAtlas-OPC,RNAplus,MiniAtlas-OPC_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-OPC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,178
198,MiniAtlas-PV-CHC,ATAC,MiniAtlas-PV-CHC_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PV-CHC_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,179
199,MiniAtlas-PV-CHC,K27Ac,MiniAtlas-PV-CHC_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PV-CHC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,180
200,MiniAtlas-PV-CHC,K27Me3,MiniAtlas-PV-CHC_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PV-CHC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,181
202,MiniAtlas-PV-CHC,RNAminus,MiniAtlas-PV-CHC_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PV-CHC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,182
203,MiniAtlas-PV-CHC,RNAplus,MiniAtlas-PV-CHC_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PV-CHC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,183
204,MiniAtlas-PVALB,ATAC,MiniAtlas-PVALB_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PVALB_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,184
205,MiniAtlas-PVALB,K27Ac,MiniAtlas-PVALB_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PVALB_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,185
206,MiniAtlas-PVALB,K27Me3,MiniAtlas-PVALB_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PVALB_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,186
208,MiniAtlas-PVALB,RNAminus,MiniAtlas-PVALB_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PVALB_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,187
209,MiniAtlas-PVALB,RNAplus,MiniAtlas-PVALB_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-PVALB_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,188
210,MiniAtlas-URL,ATAC,MiniAtlas-URL_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-URL_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,189
211,MiniAtlas-URL,K27Ac,MiniAtlas-URL_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-URL_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,190
212,MiniAtlas-URL,K27Me3,MiniAtlas-URL_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-URL_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,191
214,MiniAtlas-URL,RNAminus,MiniAtlas-URL_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-URL_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,192
215,MiniAtlas-URL,RNAplus,MiniAtlas-URL_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-URL_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,193
216,MiniAtlas-VIP,ATAC,MiniAtlas-VIP_ATAC,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-VIP_ATAC.h5,mean,0.5,0.5,0.375,768.0,256.0,194
217,MiniAtlas-VIP,K27Ac,MiniAtlas-VIP_K27Ac,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-VIP_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,195
218,MiniAtlas-VIP,K27Me3,MiniAtlas-VIP_K27Me3,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-VIP_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,196
220,MiniAtlas-VIP,RNAminus,MiniAtlas-VIP_RNAminus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-VIP_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,197
221,MiniAtlas-VIP,RNAplus,MiniAtlas-VIP_RNAplus,regression,./Data/basal_ganglia_miniatlas_drop_celltype_v1/labels/regression_MiniAtlas-VIP_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,198
