dim,cell_type,modality,trial,task,file,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,label_dim
100,BasalGanglia-F-M-GATA3-GABA,RNAminus,BasalGanglia-F-M-GATA3-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,100
101,BasalGanglia-F-M-GATA3-GABA,RNAplus,BasalGanglia-F-M-GATA3-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-GATA3-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,101
102,BasalGanglia-F-M-Glut,ATAC,BasalGanglia-F-M-Glut_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,102
103,BasalGanglia-F-M-Glut,K27Ac,BasalGanglia-F-M-Glut_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,103
104,BasalGanglia-F-M-Glut,K27Me3,BasalGanglia-F-M-Glut_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,104
105,BasalGanglia-F-M-Glut,K9Me3,BasalGanglia-F-M-Glut_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,105
106,BasalGanglia-F-M-Glut,RNAminus,BasalGanglia-F-M-Glut_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,106
107,BasalGanglia-F-M-Glut,RNAplus,BasalGanglia-F-M-Glut_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-F-M-Glut_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,107
108,BasalGanglia-Lymphocyte,ATAC,BasalGanglia-Lymphocyte_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,108
109,BasalGanglia-Lymphocyte,K27Ac,BasalGanglia-Lymphocyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,109
110,BasalGanglia-Lymphocyte,K27Me3,BasalGanglia-Lymphocyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,110
111,BasalGanglia-Lymphocyte,K9Me3,BasalGanglia-Lymphocyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,111
112,BasalGanglia-Lymphocyte,RNAminus,BasalGanglia-Lymphocyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,112
113,BasalGanglia-Lymphocyte,RNAplus,BasalGanglia-Lymphocyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Lymphocyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,113
114,BasalGanglia-M-Dopa,ATAC,BasalGanglia-M-Dopa_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,114
115,BasalGanglia-M-Dopa,K27Ac,BasalGanglia-M-Dopa_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,115
116,BasalGanglia-M-Dopa,K27Me3,BasalGanglia-M-Dopa_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,116
117,BasalGanglia-M-Dopa,K9Me3,BasalGanglia-M-Dopa_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,117
118,BasalGanglia-M-Dopa,RNAminus,BasalGanglia-M-Dopa_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,118
119,BasalGanglia-M-Dopa,RNAplus,BasalGanglia-M-Dopa_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-M-Dopa_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,119
120,BasalGanglia-Macrophage,ATAC,BasalGanglia-Macrophage_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,120
121,BasalGanglia-Macrophage,K27Ac,BasalGanglia-Macrophage_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,121
122,BasalGanglia-Macrophage,K27Me3,BasalGanglia-Macrophage_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,122
123,BasalGanglia-Macrophage,K9Me3,BasalGanglia-Macrophage_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,123
124,BasalGanglia-Macrophage,RNAminus,BasalGanglia-Macrophage_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,124
125,BasalGanglia-Macrophage,RNAplus,BasalGanglia-Macrophage_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Macrophage_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,125
126,BasalGanglia-Microglia,ATAC,BasalGanglia-Microglia_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,126
127,BasalGanglia-Microglia,K27Ac,BasalGanglia-Microglia_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,127
128,BasalGanglia-Microglia,K27Me3,BasalGanglia-Microglia_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,128
129,BasalGanglia-Microglia,K9Me3,BasalGanglia-Microglia_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,129
130,BasalGanglia-Microglia,RNAminus,BasalGanglia-Microglia_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,130
131,BasalGanglia-Microglia,RNAplus,BasalGanglia-Microglia_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Microglia_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,131
132,BasalGanglia-Monocyte,ATAC,BasalGanglia-Monocyte_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,132
133,BasalGanglia-Monocyte,K27Ac,BasalGanglia-Monocyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,133
134,BasalGanglia-Monocyte,K27Me3,BasalGanglia-Monocyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,134
135,BasalGanglia-Monocyte,K9Me3,BasalGanglia-Monocyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,135
136,BasalGanglia-Monocyte,RNAminus,BasalGanglia-Monocyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,136
137,BasalGanglia-Monocyte,RNAplus,BasalGanglia-Monocyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Monocyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,137
138,BasalGanglia-OPC,ATAC,BasalGanglia-OPC_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,138
139,BasalGanglia-OPC,K27Ac,BasalGanglia-OPC_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,139
140,BasalGanglia-OPC,K27Me3,BasalGanglia-OPC_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,140
141,BasalGanglia-OPC,K9Me3,BasalGanglia-OPC_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,141
142,BasalGanglia-OPC,RNAminus,BasalGanglia-OPC_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,142
143,BasalGanglia-OPC,RNAplus,BasalGanglia-OPC_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OPC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,143
144,BasalGanglia-OT-Granular-GABA,ATAC,BasalGanglia-OT-Granular-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,144
145,BasalGanglia-OT-Granular-GABA,K27Ac,BasalGanglia-OT-Granular-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,145
146,BasalGanglia-OT-Granular-GABA,K27Me3,BasalGanglia-OT-Granular-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,146
147,BasalGanglia-OT-Granular-GABA,K9Me3,BasalGanglia-OT-Granular-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,147
148,BasalGanglia-OT-Granular-GABA,RNAminus,BasalGanglia-OT-Granular-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,148
149,BasalGanglia-OT-Granular-GABA,RNAplus,BasalGanglia-OT-Granular-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-OT-Granular-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,149
150,BasalGanglia-Oligodendrocyte,ATAC,BasalGanglia-Oligodendrocyte_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,150
151,BasalGanglia-Oligodendrocyte,K27Ac,BasalGanglia-Oligodendrocyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,151
152,BasalGanglia-Oligodendrocyte,K27Me3,BasalGanglia-Oligodendrocyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,152
153,BasalGanglia-Oligodendrocyte,K9Me3,BasalGanglia-Oligodendrocyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,153
154,BasalGanglia-Oligodendrocyte,RNAminus,BasalGanglia-Oligodendrocyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,154
155,BasalGanglia-Oligodendrocyte,RNAplus,BasalGanglia-Oligodendrocyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Oligodendrocyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,155
156,BasalGanglia-Pericyte,ATAC,BasalGanglia-Pericyte_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,156
157,BasalGanglia-Pericyte,K27Ac,BasalGanglia-Pericyte_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,157
158,BasalGanglia-Pericyte,K27Me3,BasalGanglia-Pericyte_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,158
159,BasalGanglia-Pericyte,K9Me3,BasalGanglia-Pericyte_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,159
160,BasalGanglia-Pericyte,RNAminus,BasalGanglia-Pericyte_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,160
161,BasalGanglia-Pericyte,RNAplus,BasalGanglia-Pericyte_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-Pericyte_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,161
162,BasalGanglia-SMC,ATAC,BasalGanglia-SMC_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,162
163,BasalGanglia-SMC,K27Ac,BasalGanglia-SMC_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,163
164,BasalGanglia-SMC,K27Me3,BasalGanglia-SMC_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,164
165,BasalGanglia-SMC,K9Me3,BasalGanglia-SMC_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,165
166,BasalGanglia-SMC,RNAminus,BasalGanglia-SMC_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,166
167,BasalGanglia-SMC,RNAplus,BasalGanglia-SMC_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SMC_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,167
168,BasalGanglia-SN-PAX7-GABA,ATAC,BasalGanglia-SN-PAX7-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,168
169,BasalGanglia-SN-PAX7-GABA,K27Ac,BasalGanglia-SN-PAX7-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,169
170,BasalGanglia-SN-PAX7-GABA,K27Me3,BasalGanglia-SN-PAX7-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,170
171,BasalGanglia-SN-PAX7-GABA,K9Me3,BasalGanglia-SN-PAX7-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,171
172,BasalGanglia-SN-PAX7-GABA,RNAminus,BasalGanglia-SN-PAX7-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,172
173,BasalGanglia-SN-PAX7-GABA,RNAplus,BasalGanglia-SN-PAX7-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-SN-PAX7-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,173
174,BasalGanglia-STR-D1-MSN,ATAC,BasalGanglia-STR-D1-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,174
175,BasalGanglia-STR-D1-MSN,K27Ac,BasalGanglia-STR-D1-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,175
176,BasalGanglia-STR-D1-MSN,K27Me3,BasalGanglia-STR-D1-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,176
177,BasalGanglia-STR-D1-MSN,K9Me3,BasalGanglia-STR-D1-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,177
178,BasalGanglia-STR-D1-MSN,RNAminus,BasalGanglia-STR-D1-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,178
179,BasalGanglia-STR-D1-MSN,RNAplus,BasalGanglia-STR-D1-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D1-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,179
180,BasalGanglia-STR-D2-MSN,ATAC,BasalGanglia-STR-D2-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,180
181,BasalGanglia-STR-D2-MSN,K27Ac,BasalGanglia-STR-D2-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,181
182,BasalGanglia-STR-D2-MSN,K27Me3,BasalGanglia-STR-D2-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,182
183,BasalGanglia-STR-D2-MSN,K9Me3,BasalGanglia-STR-D2-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,183
184,BasalGanglia-STR-D2-MSN,RNAminus,BasalGanglia-STR-D2-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,184
185,BasalGanglia-STR-D2-MSN,RNAplus,BasalGanglia-STR-D2-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-D2-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,185
186,BasalGanglia-STR-Hybrid-MSN,ATAC,BasalGanglia-STR-Hybrid-MSN_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,186
187,BasalGanglia-STR-Hybrid-MSN,K27Ac,BasalGanglia-STR-Hybrid-MSN_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,187
188,BasalGanglia-STR-Hybrid-MSN,K27Me3,BasalGanglia-STR-Hybrid-MSN_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,188
189,BasalGanglia-STR-Hybrid-MSN,K9Me3,BasalGanglia-STR-Hybrid-MSN_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,189
190,BasalGanglia-STR-Hybrid-MSN,RNAminus,BasalGanglia-STR-Hybrid-MSN_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,190
191,BasalGanglia-STR-Hybrid-MSN,RNAplus,BasalGanglia-STR-Hybrid-MSN_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-Hybrid-MSN_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,191
192,BasalGanglia-STR-RSPO2-GABA,ATAC,BasalGanglia-STR-RSPO2-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,192
193,BasalGanglia-STR-RSPO2-GABA,K27Ac,BasalGanglia-STR-RSPO2-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,193
194,BasalGanglia-STR-RSPO2-GABA,K27Me3,BasalGanglia-STR-RSPO2-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,194
195,BasalGanglia-STR-RSPO2-GABA,K9Me3,BasalGanglia-STR-RSPO2-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,195
196,BasalGanglia-STR-RSPO2-GABA,RNAminus,BasalGanglia-STR-RSPO2-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,196
197,BasalGanglia-STR-RSPO2-GABA,RNAplus,BasalGanglia-STR-RSPO2-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-RSPO2-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,197
198,BasalGanglia-STR-SST-CHODL-GABA,ATAC,BasalGanglia-STR-SST-CHODL-GABA_ATAC,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_ATAC.h5,mean,0.5,0.5,80.0,3.2,0.8,198
199,BasalGanglia-STR-SST-CHODL-GABA,K27Ac,BasalGanglia-STR-SST-CHODL-GABA_K27Ac,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_K27Ac.h5,mean,0.5,0.5,2.0,128.0,32.0,199
200,BasalGanglia-STR-SST-CHODL-GABA,K27Me3,BasalGanglia-STR-SST-CHODL-GABA_K27Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_K27Me3.h5,mean,0.5,0.5,2.0,128.0,32.0,200
201,BasalGanglia-STR-SST-CHODL-GABA,K9Me3,BasalGanglia-STR-SST-CHODL-GABA_K9Me3,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_K9Me3.h5,mean,0.5,0.5,5.5,48.0,12.0,201
202,BasalGanglia-STR-SST-CHODL-GABA,RNAminus,BasalGanglia-STR-SST-CHODL-GABA_RNAminus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_RNAminus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,202
203,BasalGanglia-STR-SST-CHODL-GABA,RNAplus,BasalGanglia-STR-SST-CHODL-GABA_RNAplus,regression,./Data/basal_ganglia_miniatlas_complete_v1//labels/regression_BasalGanglia-STR-SST-CHODL-GABA_RNAplus.h5,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,203
